PROJECT ID,ORIGINAL SUBMISSION DATE,PROJECT NAME,WORKSPACE,PROJECT GROUP,AWARDED,BRAND,PRODUCT,AGENCY,CAMPAIGN,VENDOR,PHASE,SUBMISSION,BID NAME,BIDFILE TYPE,BID TOTAL,BID TYPE,AVERAGE BID,DIVERSITY:: WOMAN DIRECTOR,DIVERSITY:: MIINORITY DIRECTOR,DIVERSITY:: WOMAN EDITOR,DIVERSITY:: MIINORITY EDITOR,DIVERSITY:: WOMAN OWNED,DIVERSITY:: MINORITY OWNED,SPEND:: ANIMATION,SPEND:: ART DEPARTMENT LABOR,SPEND:: ART DEPARTMENT MATERIALS,SPEND:: AUDIO POST,SPEND:: BEHIND THE SCENES,SPEND:: CATERING / CRAFT SERVICE,SPEND:: COLOR GRADING,SPEND:: COVID LABOR,SPEND:: CUSTOM,SPEND:: DESIGN,SPEND:: DIRECTOR/ CREATIVE FEES,SPEND:: DO NOT USE,SPEND:: EDITORIAL GRAPHICS,SPEND:: EDITORIAL LABOR,SPEND:: EDITORIAL MISC,SPEND:: EDITORIAL OFFLINE,SPEND:: EDITORIAL PREP,SPEND:: EQUIPMENT COSTS,SPEND:: EXPENDABLES,SPEND:: FILM STOCK & DIGITAL MEDIA,SPEND:: FINISHING,SPEND:: FOREIGN PRODUCTION SERVICES,SPEND:: HAIR & MAKEUP,SPEND:: INTERACTIVE,SPEND:: LOCATION & TRAVEL EXPENSES,SPEND:: MEALS,SPEND:: MISCELLANEOUS,SPEND:: MUSIC,SPEND:: OTHER LABOR,SPEND:: PHOTO RETOUCHING,SPEND:: PRE-PRODUCTION EXPENSES,SPEND:: PRE-PRODUCTION LABOR,SPEND:: PRODUCTION COVID 19 COSTS,SPEND:: PRODUCTION STAFF,SPEND:: PRODUCTION SUSTAINABILITY,"SPEND:: PROPS, WARDROBE, ANIMALS",SPEND:: SHOOTING CREW LABOR,SPEND:: SOCIAL MEDIA,SPEND:: SPECIAL INSURANCE,SPEND:: STILL PHOTOGRAPHER FEES,SPEND:: STILL PHOTOGRAPHY PRODUCTION,SPEND:: STILLS POST PRODUCTION,SPEND:: STUDIO & LOCATIONS COMBINED,SPEND:: STUDIO RENTAL & STAGE EXPENSES,SPEND:: TALENT,SPEND:: TALENT EXPENSES,SPEND:: VFX,SPEND:: WARDROBE,Women Work Pitched,Women Work Awarded,AvgBidPrice LUT.Average Bid Price
42,11/15/2020 23:49,Michelob Ultra Base 21SB,2020 - 2021 Shoots,Primary Project Group,0,n/a,n/a,Primary Project Group,n/a,,Editorial,Michelob Radio,MichelobRadio,Original,19343,firm-bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11/15/2020 23:49,Michelob Ultra Base 21SB,2020 - 2021 Shoots,Primary Project Group,0,n/a,n/a,Primary Project Group,n/a,,Editorial,Michelob Social,MichelobSocial,Original,37272.5,firm-bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11/15/2020 23:49,Michelob Ultra Base 21SB,2020 - 2021 Shoots,Primary Project Group,1,n/a,n/a,Primary Project Group,n/a,Cosmo Street,Editorial,Main Edit Bid,Michelob Ultra Main Bid,Original,258625,firm-bid,95311.685,,,,,1,,,,,,,,,,243300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11/15/2020 23:49,Michelob Ultra Base 21SB,2020 - 2021 Shoots,Primary Project Group,0,n/a,n/a,Primary Project Group,n/a,,Editorial,Socials,Michelob Ultra Socials,Original,38675,firm-bid,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11/15/2020 23:49,Michelob Ultra Base 21SB,2020 - 2021 Shoots,Primary Project Group,0,n/a,n/a,Primary Project Group,n/a,,Editorial,Radio Spots,Michelob Ultra Radio Spots,Original,19843.75,firm-bid,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11/15/2020 23:49,Michelob Ultra Base 21SB,2020 - 2021 Shoots,Primary Project Group,0,n/a,n/a,Primary Project Group,n/a,,Editorial,Teaser Adaptations,Michelob Ultra Teaser Adaptations,Original,22015,firm-bid,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11/15/2020 23:49,Michelob Ultra Base 21SB,2020 - 2021 Shoots,Primary Project Group,1,n/a,n/a,Primary Project Group,n/a,The Mill,Finishing,"The Mill Michelob ""Happy"" SB",TheMill_Michelob_HappySB_ABID,Original,230100,firm-bid,230100,,,,,,,,,,,,,,,230100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,11/24/2020 0:06,Bud Light Seltzer Lemonade 21SB,2020 - 2021 Shoots,Primary Project Group,0,n/a,n/a,Primary Project Group,n/a,,Film & Video Production,New Package,BUD LIGHT_WARZIN_A&S_5 DAY_V4B,Original,1950395.62,cost-plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,11/24/2020 0:06,Bud Light Seltzer Lemonade 21SB,2020 - 2021 Shoots,Primary Project Group,1,n/a,n/a,Primary Project Group,n/a,RESET,Film & Video Production,New Package,,Original,1739749.035,cost-plus,1845072.327,,,,,,,,,,,,,,,1338808.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,11/24/2020 0:06,Bud Light Seltzer Lemonade 21SB,2020 - 2021 Shoots,Primary Project Group,1,n/a,n/a,Primary Project Group,n/a,Arcade Edit,Editorial,AE_BudlightSeltzerSB2021_w5x15finish,Bid_9350_3,Original,238972.34,cost-plus,130306.79,,,,,1,1,,,,,,,,,226422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
